WORD	FAM
a	632
abandon	510
abandonment	359
abasement	226
abatement	294
abbess	187
abdication	284
abdomen	426
abduction	413
aberration	208
abhor	360
ability	563
able	575
abode	334
abominable	358
aboriginal	295
about	593
above	607
abridgement	303
abrupt	486
abscess	392
absolute	495
absolution	372
abstraction	368
abstruse	136
abundance	448
abundant	524
abuse	450
abyss	293
academy	509
acceleration	499
acceptable	521
accident	564
accommodation	533
accomplice	446
accord	418
accordance	431
accordion	394
account	523
accumulation	451
accurate	566
accuser	363
ache	523
acidity	399
acknowledge	503
acorn	397
acre	427
acrobat	431
act	566
active	552
actual	589
actuality	361
acumen	149
adage	160
adam	372
adder	361
addition	535
additional	489
adequate	485
adherence	375
adjective	515
adjournment	327
administration	502
admiral	436
admire	531
admission	482
admonish	341
adolescence	444
adorn	441
adult	590
adultery	456
advanced	523
advantage	562
adventurer	402
adverb	473
adversity	360
advice	566
adze	138
aerial	481
affable	266
affair	531
affection	513
affectionate	507
affirm	444
affirmation	332
affright	219
afraid	575
after	575
afternoon	655
against	600
age	582
agency	420
aggress	351
aggressive	500
aggressor	359
agile	432
agility	397
agony	509
agreement	541
ague	196
ah	519
aid	536
ail	370
aim	549
air	608
airship	332
airy	423
aisle	503
alacrity	245
albatross	309
albumin	217
alchemist	262
alcohol	578
ale	454
alert	528
algae	317
algebra	483
alias	384
alien	479
alimony	415
alive	593
alkali	391
all	582
allegation	383
allege	279
allegory	314
alley	526
alligator	442
allophone	074
allotment	420
allow	504
ally	410
alone	562
alphabet	493
also	552
alter	503
alternative	518
although	573
altitude	420
aluminium	453
aluminum	494
always	600
am	603
amateur	502
amazement	495
ambassador	477
ambition	517
ambitious	540
ambulance	499
ambush	436
amendment	403
amethyst	285
amity	200
ammonia	524
amount	583
amour	362
ampere	272
amplifier	474
amplitude	374
amuse	486
an	595
analogy	417
analytic	405
anchor	458
ancient	429
and	620
anecdote	388
anele	103
angel	470
anger	541
angle	518
angry	600
animal	620
animosity	324
ankle	543
anneal	176
annex	390
announcement	519
annual	464
answer	605
ant	511
antagonism	417
anteroom	241
anticipation	492
antique	484
antitoxin	214
anvil	302
anxiety	548
anxious	544
any	542
anybody	591
anyone	605
apart	555
apartment	491
apathy	472
ape	547
aperture	356
apex	321
apology	510
apparent	531
appeal	514
appear	534
appearance	578
appendix	493
apple	598
appliance	493
appointment	541
appraise	459
appreciate	552
approach	508
approval	526
apricot	428
apron	516
apt	428
aptitude	505
arbiter	238
arbitrary	427
arbor	289
arc	397
arch	483
archery	351
ardent	364
are	564
area	560
argue	564
arid	418
arise	409
aristocracy	401
ark	417
arm	608
armadillo	181
armor	376
armour	406
army	555
aromatic	307
arrangement	525
array	383
arrival	548
arrogant	407
arrow	490
art	529
article	533
artifice	252
artificial	514
artist	547
artistic	468
as	586
asbestos	427
ash	494
ashamed	516
ashen	274
asparagus	534
aspect	482
asphalt	488
aspirin	546
assault	470
assemblage	286
assemble	482
assent	325
assist	516
assistance	534
assortment	492
assumption	521
aster	205
astrolabe	126
astronomy	391
astute	335
asymptote	281
at	615
ate	562
athlete	482
athletics	548
atmosphere	540
atom	513
atrocity	371
attack	542
attempt	558
attend	545
attendant	494
attentive	479
attitude	553
attribute	421
audience	511
audit	326
audition	479
auditorium	519
aunt	554
aural	192
aurora	254
authentic	477
author	554
authoritative	443
automobile	456
autumn	533
available	566
avalanche	399
avenue	529
average	579
aviator	272
