WORD	IMAG
a	217
abandon	395
abandonment	348
abasement	262
abatement	189
abbess	318
abdication	326
abdomen	548
abduction	463
aberration	285
abhor	335
ability	327
able	284
abode	458
abominable	387
aboriginal	389
about	225
above	346
abridgement	240
abrupt	362
abscess	491
absolute	268
absolution	256
abstruse	225
abundance	386
abundant	443
abyss	453
academy	504
acceleration	486
acceptable	288
accident	518
accommodation	466
accomplice	391
accord	248
accordance	237
accordion	576
account	361
accumulation	354
accurate	305
accuser	343
ache	443
acidity	432
acknowledge	316
acre	464
acrobat	583
act	433
active	436
actual	259
actuality	213
acumen	229
adage	324
adam	488
adder	583
addition	347
additional	303
adequate	268
adherence	326
adjective	394
adjournment	305
administration	413
admiral	543
admire	390
admission	389
admonish	302
adolescence	467
adorn	370
adult	526
adultery	494
advanced	320
advantage	292
adventurer	497
adverb	315
adversity	326
advice	352
adze	256
aerial	567
affable	315
affair	361
affection	484
affectionate	471
affirm	281
affirmation	313
affright	232
afraid	451
after	217
afternoon	513
against	285
age	468
agency	366
aggress	270
aggressive	417
aggressor	383
agile	454
agility	464
agony	491
agreement	367
ague	224
ah	330
aid	413
ail	391
aim	383
air	450
airship	545
airy	368
aisle	528
alacrity	189
albatross	583
albumin	352
alchemist	394
alcohol	598
ale	526
alert	428
algae	424
algebra	510
alias	294
alien	470
alimony	456
alive	426
alkali	432
all	332
allegation	291
allege	281
allegory	244
alley	572
alligator	627
allotment	470
allow	373
ally	453
alone	480
alphabet	499
also	264
alter	413
alternative	268
although	208
altitude	472
aluminium	505
aluminum	501
always	280
am	247
amateur	397
amazement	456
ambassador	545
ambition	346
ambitious	404
ambulance	627
amendment	305
amethyst	510
amity	205
ammonia	536
amount	316
amour	536
ampere	304
amplifier	559
amplitude	389
amuse	455
an	195
analogy	267
analytic	303
anchor	561
ancient	451
and	226
anecdote	357
anele	204
angel	554
anger	488
angle	503
angry	492
animal	575
animosity	388
ankle	613
anneal	219
annex	435
announcement	381
annual	339
answer	368
ant	613
antagonism	378
anteroom	375
anticipation	435
antique	549
antitoxin	388
anxiety	422
anxious	376
any	206
anybody	329
anyone	288
apart	364
apartment	556
apathy	376
ape	616
aperture	424
apex	375
apology	400
apparent	266
appeal	402
appear	341
appearance	425
apple	637
appliance	554
appointment	386
appraise	306
appreciate	300
approach	329
approval	375
apricot	591
apron	565
apt	295
aptitude	310
arbiter	257
arbitrary	276
arbor	374
arc	494
arch	557
archery	550
ardent	347
are	262
area	394
argue	412
arid	433
arise	354
aristocracy	470
ark	517
arm	593
armadillo	401
armor	503
armour	536
army	578
aromatic	443
arrangement	316
array	365
arrival	419
arrogant	402
arrow	619
art	493
article	421
artifice	240
artificial	386
artist	600
artistic	441
as	224
asbestos	513
ash	553
ashamed	397
ashen	395
asparagus	590
aspect	233
asphalt	569
aspirin	542
assault	481
assemble	413
assent	345
assist	368
assistance	348
assortment	367
assumption	257
aster	224
astrolabe	150
astronomy	483
astute	261
at	225
ate	364
athlete	591
athletics	551
atmosphere	444
atom	499
atrocity	404
attack	501
attempt	302
attend	386
attendant	499
attentive	352
attitude	321
attribute	295
audience	555
audit	253
audition	395
auditorium	573
aunt	567
aural	253
aurora	345
authentic	428
author	460
authoritative	356
automobile	628
autumn	622
available	285
avalanche	596
avenue	564
average	297
aviator	445
avid	325
avowal	208
await	293
aware	298
away	272
aweigh	213
awkward	419
awl	292
axe	597
axil	389
axiom	311
axle	560
aye	255
babe	562
baby	608
back	483
background	427
bacteria	505
bad	388
badge	519
bag	570
bagpipe	594
bail	480
bake	495
balance	429
bale	473
ball	622
balloon	583
ballot	437
banality	255
banana	644
band	579
bandage	554
bandit	562
bang	470
bank	560
banker	565
banner	569
bar	596
barb	448
bard	406
bare	487
bargain	505
bark	539
barn	589
barnacle	458
baron	498
barrel	602
base	436
basement	571
bashful	400
basic	271
basin	542
basket	560
bass	544
bat	586
bath	601
baton	516
battle	597
bawl	417
bay	570
bayonet	548
be	274
beach	667
beak	574
beam	539
bean	538
bear	572
beard	630
beast	558
beat	406
beau	394
beautiful	532
beauty	513
beaver	612
became	262
because	244
become	259
bed	635
bedel	177
bedroom	629
bee	623
beech	435
beef	625
beehive	572
been	222
beer	598
beet	555
beetle	640
before	255
beg	431
began	251
