Word	 SFI
a	83.8
a'	32.4
a'-a	11.5
a'mighty	22.1
a's	43.2
a'ter	22.1
a-12	18.1
a-7	9.3
a-a	25.5
a-a-a	22.1
a-a-a-a-a-a	25.1
a-a-a-a-a-a-a-a-w-w-w-h-h*	22.1
a-a-a-a-ta-ta	25.1
a-a-a-a-w-w-w-w-o-o-o-o-o	22.1
a-a-all	22.1
a-a-ll	22.1
a-a-spring	22.1
a-ac	19.5
a-ah	22.1
a-asking	22.1
a-b	32.4
a-b-a	3.5
a-b-abs	22.1
a-b-c	25.1
a-b-c-d-e-f-g	22.1
a-b-x	20.8
a-bayin'	22.1
a-bear	22.1
a-bed	22.1
a-begging	22.1
a-bellerin'	22.1
a-ble	22.1
a-block	20.8
a-bloom	22.1
a-bloomin'	22.1
a-blowing	22.1
a-bomb	31.5
a-boo	22.1
a-borning	27.4
a-botherin'	20.8
a-bristle	22.1
a-burning	27.7
a-charging	22.1
a-chasin'	22.1
a-choo	22.1
a-comin'	33.9
a-coming	26.9
a-coming'	22.1
a-courtin'	22.1
a-crawling	22.1
a-cussin'	20.8
a-d	18.1
a-danged	25.1
a-diddy	22.1
a-doin'	25.1
a-doing	27.7
a-doop	22.1
a-down	22.1
a-dressing	25.1
a-dyin'	25.1
a-e	25.4
a-fishing	22.1
a-flat	3.5
a-flyin'	29.3
a-frame	25.4
a-g-n-e-s	22.1
a-gallop	22.1
a-gettin'	22.1
a-gj	18.1
a-goin'	35.3
a-going	34.2
a-growin'	22.1
a-growing	25.1
a-ha'nting	22.1
a-heaving	22.1
a-ho-oy	22.1
a-hold	22.1
a-horizon	21.1
a-horseback	22.1
a-huckleberrying	22.1
a-io	22.1
a-kilowatt	20.8
a-kilt	22.1
a-l-a-r-m-e-d	22.1
a-laa	26.9
a-laying	22.1
a-lookin'	27.4
a-looking	22.1
a-lying	22.1
a-m	16.5
a-makin'	22.1
a-mer-i-ca	22.1
a-mindin'	20.8
a-minus	25.4
a-moanin'	22.1
a-mold'ring	22.1
a-motoring	22.1
a-mouldering	20.8
a-muck	22.1
a-musing	22.1
a-n-y-t-h-i-n-g	22.1
a-name	25.1
a-one	27.7
a-one-a	22.1
a-ors	22.1
a-pattering	22.1
a-peak	22.1
a-pickin'	22.1
a-planting	22.1
a-plenty	22.1
a-poundin'	22.1
a-pounding	22.1
a-prickle	22.1
a-pron	22.1
a-purpose	22.1
a-puttin'	25.1
a-r	13.2
a-r-a-b-i-a-n	22.1
a-rainin'	22.1
a-ripping	22.1
a-runnin'	22.1
a-s-s-i-s-t-a-n-c-e	22.1
a-sailing	22.1
a-scan	11.5
a-selling	22.1
a-settin'	22.1
a-shakin'	22.1
a-shaped	20.8
a-sittin'	25.1
a-sitting	22.1
a-skip	22.1
a-smoking	22.1
a-standing	22.1
a-swearin'	20.8
a-sweating	22.1
a-swinging	22.1
a-t	18.1
a-talkin'	22.1
a-tall	26.9
a-tearing	22.1
a-thieving	22.1
a-thinkin'	22.1
a-tiptoe	22.1
a-top	27.7
a-tremble	22.1
a-trembling	22.1
a-tryin'	22.1
a-trying	22.1
a-turning	25.1
a-u-t-o	20.8
a-v	30.4
a-vail	22.1
a-visiting	22.1
a-wa-wa-wa-wa	22.1
a-waiting	22.1
a-walkin'	27.4
a-wandering	27.7
a-wark	31.2
a-watchin'	22.1
a-way	22.1
a-ways	22.1
a-whistlin'	22.1
a-whoam	22.1
a-wiggling	25.1
a-words	25.1
a-workin'	22.1
a-wrapped	22.1
a-wropping	22.1
a-year	28.2
a-z	28.4
a.3.1a	20.8
a.6	23.8
a.7	20.8
a1	33.6
a1a	29.7
a2	33.4
a2-b2	18.1
a3	18.1
a32-a33	20.8
a6-a9	20.8
aa-al	13.5
aa-am	22.1
aa1	25.1
aaa	24.2
aaaa	13.2
aaaah	25.1
aaaatten-hutt	22.1
aaabbb	22.1
aaagh	22.1
aaah	32.3
aaahh	22.1
aachen	28.8
aack	22.1
aage	22.1
aah	29.3
aahed	22.1
aahn-ee	22.1
aahs	22.1
aaiieee	22.1
aal	30.6
aames	13.5
aardvark	29.3
aardvarks	32.1
aarke	25.1
aaron	46.9
aaron's	35
aarons	28.1
aarup	25.1
aasvogel	22.1
ab	41.1
ab'lative	22.1
ab's	22.1
ab-ab-ab	22.1
aba	22.1
ababa	30.6
ababab	22.1
abaca	20.8
aback	38.2
abacus	38.8
abadan	29.9
abadani	25.1
abaft	30.3
abajo	20.8
abakumov	25.1
abal	22.1
abalone	38.5
abalones	27.7
abandon	46.7
abandonded	22.1
abandoned	52.7
abandoning	41.5
abandonment	39.3
abandons	27.4
abang	23.8
abarimon	25.1
abary	22.1
abas	28.1
abas's	25.1
abased	22.1
abash	22.1
abashed	34.6
abate	34.9
abated	35.4
abatement	30.4
abattoir	22.1
abattoirs	26.9
abax	22.1
abba	34.2
abbandando	25.1
abbas	20.8
abbasid	28.1
abbasids	22.1
abbassid	20.8
abbasside	25.5
abbatoir	22.1
abbaye	25.1
abbccaa	22.1
abbe	27.7
abbenay	30.6
abbenay's	22.1
abbess	32.5
abbeville	25.1
abbevillian	18.1
abbey	43.3
abbey's	22.1
abbeys	30.2
abbie	37.8
abbie's	22.1
abblasoure	22.1
abbot	44.9
abbot's	31.7
abbots	34.5
abbotsfield	22.1
abbotsford	22.1
abbott	40.4
abbott's	31.2
abbotts	31.7
abbottsville	22.1
abboutt	22.1
abbreviate	35.4
abbreviated	42.3
abbreviation	43.8
abbreviations	44.7
abby	38.4
abby's	22.1
abc	38.8
abc's	32.6
abcd	24.9
abcdefg	22.1
abcedarians	22.1
abcs	25.1
abcx	20.8
abd	28.3
abd-al-rahman	35.9
abd-al-rahman's	29.9
abd-er-rahman	22.1
abd-ur-rahman	26.9
abdallah	25.1
abdel	31.8
abdelk	22.1
abdicate	34.9
abdicated	32.9
abdicates	20.8
abdicating	27.4
abdication	27.4
abdomen	46.4
abdomen-muscle	13.2
abdomens	30.5
abdominal	41.9
abduct	27.7
abducted	27.6
abduction	30.8
abductors	22.1
abdul	37.9
abdul's	22.1
abdul-jabbar	22.1
abdulla	20.8
abdullah	32.3
abdullah's	22.1
abdullahi	29.1
abdus	22.1
abe	46.3
abe's	31.2
abebe	22.1
abecket	20.8
abed	33.3
abednego	25.1
abegweit	22.1
abehind	22.1
abel	38.6
abel's	20.8
abelard	22.1
abell	21.1
abenakis	22.1
abensina	22.1
abeokuta	22.1
abercrombie	22.1
abercrombie's	22.1
aberdeen	33.3
aberdeenshire	22.1
abernathy	31.2
aberrant	30.4
aberration	36.3
aberrations	26.8
aberstwyth	22.1
abert	22.1
abet	32.3
abets	20.8
abetted	29.3
abetting	22.1
abettors	22.1
abex	18.3
abeyance	27.7
abha	22.1
abhor	30.3
abhorred	35.4
abhorrence	32.4
abhorrent	35.8
abhors	27.7
abi	22.1
abiah	25.1
abide	44
abided	33.2
abidin'	22.1
abiding	35.3
abie	28.1
abies	18.1
abigail	45.3
abigail's	32.4
abijah	30.3
abilene	35
abilities	52.5
ability	60
ability-to-pay	29.1
abiogenesis	18.1
abiotic	34.4
abitity	18.1
abject	37
abjectly	29.1
abjectness	22.1
abjuring	22.1
ablated	22.1
ablation	22.1
ablative	27.7
ablaze	38
able	64.8
able-bodied	38.1
abler	20.8
ablest	35.1
ablolish	22.1
abloom	20.8
ablutin'	22.1
ablutions	30.3
ably	34.8
abnaki	20.8
abnegation	22.1
abner	39.9
abner's	30.3
abney	11.5
abnormal	47.2
abnormalities	40
abnormality	35.5
abnormally	41.4
abnormals	22.1
abo	18.1
aboard	52.3
abode	41.8
abodes	27.7
abodomen	13.2
abolish	41
abolished	42.9
abolishing	36.8
abolition	41.7
abolitionism	30.3
abolitionist	42
abolitionists	43.1
abominable	38.9
abominably	27.7
abominate	22.1
abomination	33.7
abominations	20.8
aboral	24.2
aboriginal	37
aborigine	32.7
aborigines	43.9
aborigines'	28.8
aboriginies	22.1
aborned	22.1
abort	33.3
aborted	34.1
aborting	22.1
abortion	45.2
abortionists	27.4
abortions	40.1
abortive	37.4
abosorb	18.1
abou	22.1
abou-sir	22.1
abound	40.6
abounded	37.4
abounding	30.3
abounds	35.3
abour	22.1
about	74.1
about-face	31.2
about-faced	22.1
about-faces	22.1
above	64
above-average	36.5
above-board	25.1
above-grade	11.5
above-ground	34.2
above-listed	13.2
above-mentioned	32.5
above-normal	20.8
aboveboard	25.1
aboveground	32.1
abovementioned	22.1
abovestairs	22.1
abplanalp	25.1
abra	26.9
abrabanel	25.1
abracadabra	25.1
abracadabras	22.1
abraders	22.1
abrades	11.5
abrading	25.1
abraham	50.3
abraham's	33.5
abrahams	31.5
abrahamson	25.1
abrahms	26.9
abram	36.8
abraman	22.1
abramovitch	20.8
abramowitz	29.3
abrams	29.3
abrasion	37.8
abrasions	33.1
abrasive	41.1
abrasives	36.2
abrazo	22.1
abreast	42.3
abrican	22.1
abrican's	22.1
abridge	32.8
abridged	38
abridgement	20.8
abridging	30.8
abroad	50.9
abrogate	27.4
abrogated	27.4
abrupt	45.4
abruptly	49.9
abruptness	33.9
abrupty	22.1
abrusco	22.1
absalom	29.3
absaroka	29.1
absarokee	25.1
abscess	28.5
abscesses	30.2
abscissa	28.2
abscond	22.1
absconded	28.1
absecon	26.9
absence	53
absences	40.1
absense	22.1
absent	47.7
absent-minded	36
absent-mindedly	35.1
absent-mindedness	30.3
absented	25.1
absentee	32.7
absenteeism	36
absentees	22.1
absently	39
absentminded	32.5
absentmindedly	31.7
absentmindedness	20.8
absinthe	22.1
absolom	20.8
absolutamente	22.1
absolute	53.3
absolutely	53.1
absoluteness	18.1
absolutes	34.6
absolution	22.1
absolutism	34.1
absolutist	33
absolutists	20.8
absolve	30.4
absolved	27.4
absorb	51.5
absorbable	13.2
absorbance	26.6
absorbances	18.1
absorbed	53.5
absorbent	35
absorber	35.9
absorbers	37.4
absorbing	44.4
absorbs	47
absorption	46.6
absorptions	18.1
absorptive	24.2
absorptivity	18.1
abstain	34.9
abstained	27.4
abstainers	16.2
abstaining	31.2
abstains	27.4
abstention	23.8
abstinence	34.8
abstract	47.4
abstract-expressionism	3.5
abstracted	33.2
abstractedly	22.1
abstractedness	20.8
abstracting	26.8
abstraction	38.7
abstractionism	22.1
abstractions	38.5
abstractly	30.8
abstractness	23.8
abstractons	22.1
abstracts	28.3
abstruse	23
absurb	26.9
absurd	46.6
absurdist	22.1
absurdities	33.5
absurdity	38
absurdly	29.9
absurdum	30.3
abu	43.7
abu's	28.1
abu-al-walid	22.1
abu-bakr	22.1
abu-bakr's	22.1
abu-bekr	20.8
abu-l-abbas	22.1
abu-muslim	22.1
abubakar	28.8
abudance	22.1
abudantly	22.1
abuelita	25.1
abuilding	22.1
abuja	20.8
abuk	22.1
abundance	49.1
abundancy	22.1
abundant	51
abundantly	39.7
abundntly	20.8
abunuwas	29.9
abunuwas's	22.1
abuse	50
abused	45.2
abuser	29.5
abuser's	19.3
abusers	38.2
abuses	43.3
abusing	37.5
abusings	22.1
abusive	38.5
abustle	22.1
abut	31.2
abutment	16.2
abutments	28.9
abuts	22.1
abutting	31.6
abydos	27.7
abyla	22.1
abysmal	30.4
abyss	40.2
abyssal	32.2
abyssinia	32.2
abyssinian	30.6
abyssinians	25.1
abyssinica	22.1
abzug	28.1
ac	32.7
acacia	37.3
acacias	31.2
academe	22.1
academia	23.8
academic	50.7
academical	22.1
academically	36.1
academicians	20.8
academics	32.3
academie	22.1
academies	36.6
academus	20.8
academy	49.5
academy's	25.1
acadia	33.2
acadians	31.8
acamapichtli	22.1
acapulco	31.8
acb	22.1
acccurate	11.5
accede	28.8
acceded	25.1
acceding	22.1
accelerate	43.6
accelerated	46.1
accelerates	35.8
accelerating	43.4
acceleration	47
accelerations	25.9
accelerative	26.9
accelerator	42.1
accelerators	33.5
accent	47.5
accented	36.5
accenting	30.3
accents	39.3
accentuate	32.6
accentuated	37.4
accentuation	13.2
accept	57.1
acceptability	35.6
acceptable	52
acceptance	50.6
acceptances	31.2
acceptant	20.8
acceptant-democratic	20.8
acceptantly	20.8
acceptation	27.4
accepted	57.4
accepting	49
acceptor	32.9
acceptors	27.8
accepts	44.2
acces	9.3
access	51
accessed	22
accesses	25.4
accessibility	36.4
accessible	44.8
accessing	21.3
accession	34.8
accessit	22.1
accessories	41.8
accessory	37.4
accesssories	9.3
acciaccatura	3.5
accidence	22.1
accident	55.7
accident-inviting	13.2
accident-prone	26.4
accident-proneness	22.1
accident-reducing	22.1
accidental	46.4
accidentally	47.9
accidentals	3.5
accidentially	22.1
accidentlly	22.1
accidently	34.8
accidents	52.6
accion	20.8
acclaim	36.7
acclaimed	38.7
acclamation	30.4
acclamations	22.1
acclimate	18.1
acclimatised	22.1
acclimatization	22.1
acclimatized	16.2
acclivity	30.6
accociated	20.8
accolades	22.1
accolon	30.6
accom	22.1
accommodate	46.9
accommodated	37.1
accommodates	33.2
accommodating	31.6
accommodation	41.6
accommodationist	20.8
accommodations	39.9
accomodate	25.5
accomodating	22.1
accomodations	25.3
accompanied	52.3
accompanies	40.3
accompaniment	40.3
